Species1	Species2	Distance
OCHPR	SARHA	0.27013
CAVPO	TAEGU	0.30842
CARRP	MYOLU	1.27456
LOXAF	SCLS1	1.08955
DESVV	MUCCI	1.18758
METTH	LOALO	1.24106
MARHT	PELSI	1.17534
NAEGR	TAKRU	1.09579
IGNH4	TURTR	1.20896
BDEBA	LEPMJ	1.21831
LEIMA	HUMAN	1.16254
CLAM3	SORAR	1.23510
STRPU	VERDA	1.14759
SYNJA	DESVV	1.03248
TAEGU	TRICA	0.83819
CALJA	MUCCI	0.97940
PSEP1	MAGGR	1.24711
ECOLI	NAEGR	1.19035
ERIEU	LOALO	0.92314
SULMD	TRIAD	1.19367
BOMMO	ERIEU	0.85124
IGNH4	LACBI	1.18393
CARRP	GASAC	1.25968
ACAM1	PHACH	1.20598
GASAC	ORYSJ	1.15410
PYRNV	APIME	1.27877
BDEBA	SCLS1	1.22070
OTOGA	SORBI	1.19936
DESVV	SARHA	1.24182
DECAR	NITSB	1.13762
PRIPA	SCHMA	0.95090
HUMAN	CYAME	0.98953
ORYLA	GIBZA	1.18124
ATETH	CAPTE	1.18925
ASPFU	MAIZE	1.23776
CONWI	BATDE	1.24800
AGRFC	CANAW	1.22629
ORYLA	ENCCU	1.13148
CARRP	MANES	1.13627
CAPTE	NEUCR	1.12455
PICTO	SCHCO	1.36490
THEPD	TREME	1.28067
NOSA0	ENCCU	1.30259
SYNP6	FELCA	1.19168
SYNAS	NECHA	1.26636
THEEB	TAKRU	1.15701
HETAN	MAGGR	0.93494
DICNV	CHOHO	1.19871
APIME	TRIAD	0.90761
TRIV2	DIPOR	1.22008
KORCO	MONBE	1.27846
CANLF	PIGXX	0.12110
LOALO	POPTR	1.04134
ECHTE	GADMO	0.45516
AMPQE	CAVPO	0.97011
BDEBA	POSPM	1.27581
PROCA	LODEL	1.03631
HUMAN	RATNO	0.17699
OCHPR	SCHMA	0.88347
SULNB	SCLS1	1.21451
BRAFL	DEBHA	1.15662
PICTO	SCLS1	1.38101
MACMU	NECHA	1.14390
LOTGI	ORNAN	0.81355
CAVPO	PHYIT	1.09115
ANOCA	SCHMA	0.93019
THEEB	PHYIT	1.09819
DESAS	PRUPE	1.08524
NAEGR	ENCCU	1.12354
TRIEI	PROCA	1.21212
GIAIC	BRAFL	1.22534
CAUVC	GEOSL	1.07465
PYRHO	SULNB	1.30272
NEIG1	EMIHU	1.08967
CARRP	LOALO	1.19283
COCLU	BOMMO	1.25772
PHYPA	NOSCE	1.09635
CENSY	LOTGI	1.25850
NATPD	SCHPO	1.28043
METLZ	VITVI	1.22417
COXBR	RABIT	1.19204
IXOSC	TUPBE	0.79729
IGNH4	POSPM	1.25426
EHRCJ	MAGGR	1.13495
HAEI1	HELRO	1.22244
AEDAE	SELML	1.27948
HELRO	MANES	1.06526
NITMS	MACMU	1.25663
CIOSA	PELSI	0.76168
PHACH	SOLLC	1.29820
PYRHO	METS5	1.05041
PYRNV	METS5	0.98594
SORC5	NAEGR	1.32127
NAEGR	ARATH	1.10237
CAPO3	TETNG	0.95546
PRIPA	PROCA	0.95584
ACAM1	NECHA	1.23941
THEPD	BRARP	1.19340
BDEBA	MAGGR	1.19907
BDEBA	TARSY	1.14962
BRAFL	CAPTE	0.89372
IXOSC	TURTR	0.78765
COXBR	MONBE	1.10987
APIME	OCHPR	0.82999
KORCO	CANAW	1.27308
SCHMA	SCLS1	1.05172
PYRHO	CRYNJ	1.26346
MARMM	ACAM1	1.13458
NITEU	SCLS1	1.19459
SORC5	MEDTR	1.24893
USTMA	TUPBE	0.99907
RUTMC	LOALO	1.16412
TRYB2	ORYLA	1.19779
CONWI	MANES	1.26811
AZOPC	CHLT9	1.12668
AGRFC	BDEBA	1.15995
EMIHU	CHOHO	1.02033
HAEI1	TRIAD	1.19537
COXBR	AILME	1.20478
HELRO	PHYIT	1.09572
COCLU	DAPPU	1.21640
AERHH	TRIAD	1.23503
LEPOC	KLULA	1.12085
METTH	AMPQE	1.23049
NITMS	HETAN	1.26804
ORYSJ	SCHPO	1.08570
ORNAN	SOLLC	1.09919
ACAM1	PRIPA	1.27108
GIBZA	VERDA	0.51115
DICDI	GORGO	1.16084
LEPMJ	USTMA	0.93431
AERHH	TUBMM	1.16466
THEKO	XENTR	1.26528
TRIEI	METS5	1.29323
SORC5	BOVIN	1.26969
SULMD	SYNAS	1.04846
IGNH4	PONAB	1.21814
ACAM1	SOLLC	1.12362
DEIPM	HORSE	1.18538
DESVV	KLULA	1.22191
MICMU	PROCA	0.17075
PUCGT	ORYSJ	1.13159
LEPOC	OCHPR	0.43163
NOSP7	MAIZE	1.07887
BRARP	METS5	1.22776
YARLI	YEAST	0.85436
DEIPM	SPIPN	1.10112
PYRHO	SORAR	1.22688
ACAM1	MUCCI	1.19381
ACYPI	STRPU	0.98123
METTH	ORYSJ	1.17699
CAMC5	GIAIC	1.24562
ERIEU	OCHPR	0.20777
CAVPO	XENTR	0.59240
CONWI	CLOTE	1.32224
TRIV2	NITOC	1.08038
TOXGO	TUPBE	1.08933
CALMQ	DESVV	1.30577
TOXGO	MEDTR	1.00738
NITSB	TRICA	1.23572
DASNO	GORGO	0.16655
AERPE	SYNP6	1.29894
COPPD	GASAC	1.18582
DAPPU	MYCMG	1.31485
MONDO	NOSCE	1.17256
DROME	ORNAN	0.81948
AERPE	PROMA	1.33757
CHLRE	PEDHC	1.11073
SYNAS	HAEI1	1.07083
SULMD	ECHTE	1.14677
MARM1	DROME	1.26550
ATETH	ENCCU	1.35120
DESAS	COCLU	1.25570
MAGGR	MAIZE	1.21749
THEPD	MOUSE	1.26744
COPPD	HAEI1	1.17873
SULMD	LEIMA	1.10828
SCHCO	CYAME	1.02388
AZOPC	STRPU	1.16035
CARRP	PSEP1	1.19745
METS5	ICTTR	1.30128
CANLF	MANES	1.07671
CULQU	MANES	1.18876
LEIMA	GORGO	1.15371
THEPD	RABIT	1.24680
BORPD	TURTR	1.17003
METS5	BOMMO	1.29962
ECHTE	SETIT	1.09687
DICDI	PANTR	1.14294
MACMU	NEUCR	1.06443
PHACH	POSPM	0.71204
DESVV	PTEVA	1.22687
LEIMA	NOSCE	1.21297
CLOTE	SOYBN	1.13787
PROMA	IXOSC	1.15916
HETAN	USTMA	0.79304
LOTGI	CYAME	0.98528
LOALO	PROCA	0.92638
COPPD	ARATH	1.12297
ZYMMO	TRIV2	1.11943
